no_11	北京	91110101681953105M ly
no_12	天津	91120000744026318Q ly
no_12	天津	911200006794048442 ly
no_13	河北	91130000678539210C ly
no_13	河北	91130000745404173T ly
no_13	河北	91130000679906908F ly
no_13	河北	91130113748476244P ly
no_13	河北	91130113678546779W ly
no_13	河北	911302936799108276 ly
no_13	河北	91130293745443500R ly
no_13	河北	91130301746852541Y ly
no_13	河北	91130301679916663T ly
no_13	河北	91130400679915919Q ly
no_13	河北	911304007468568841 ly
no_13	河北	91130501679910763F ly
no_13	河北	91130501746851303Q ly
no_13	河北	911306006785488111 ly
no_13	河北	911306007454328600 ly
no_13	河北	91130700746855961K ly
no_13	河北	911307006799191438 ly
no_13	河北	91130805746853456L ly
no_13	河北	91130805679904208T ly
no_13	河北	91130900679901824R ly
no_13	河北	91130900746853990F ly
no_13	河北	91131001679916321C ly
no_13	河北	9113100174543265X9 ly
no_13	河北	911311026799067134 ly
no_13	河北	911311007468575378 ly
no_14	山西	91140100754077354X ly
no_14	山西	91140100680211433U ly
no_14	山西	91140200746027007R ly
no_14	山西	911402006802129977 ly
no_14	山西	911403007460214142 ly
no_14	山西	911403006802103502 ly
no_14	山西	91140700746022732T ly
no_14	山西	91140700680210895N ly
no_14	山西	91140400746022775Q ly
no_14	山西	91140400680210270K ly
no_14	山西	91140500746025116E ly
no_14	山西	91140500680215063R ly
no_14	山西	911410007460331913 ly
no_14	山西	91141000680213586M ly
no_14	山西	91141100746026004G ly
no_14	山西	91141100680209034N ly
no_14	山西	91140800746023380F ly
no_14	山西	9114080068021428X0 ly
no_14	山西	91140900746022353K ly
no_14	山西	91140900680210879B ly
no_14	山西	91140600743526900Y ly
no_14	山西	91140600680218459W ly
no_15	内蒙古	91150000676937557Y ly
no_15	内蒙古	911501006800056214 ly
no_15	内蒙古	91150291680007088B ly
no_15	内蒙古	91150700680007125H ly
no_15	内蒙古	9115220068000571XD ly
no_15	内蒙古	91150500680008080F ly
no_15	内蒙古	9115040068000723X3 ly
no_15	内蒙古	91152500680006309E ly
no_15	内蒙古	91150982680006675Y ly
no_15	内蒙古	91150602680008187W ly
no_15	内蒙古	91150802680002594A ly
no_15	内蒙古	911529006800053228 ly
no_21	辽宁	912101026795038859 ly
no_21	辽宁	912102036775494098 ly
no_21	辽宁	91210300676898201Y ly
no_21	辽宁	91210400676897639F ly
no_21	辽宁	91210500676897647F ly
no_21	辽宁	91210600680050369J ly
no_21	辽宁	91210700676894884A ly
no_21	辽宁	912108006768965560 ly
no_21	辽宁	91210900680051089A ly
no_21	辽宁	91211000676899001P ly
no_21	辽宁	91211200676898543H ly
no_21	辽宁	91211300680050545C ly
no_21	辽宁	9121110067689602X0 ly
no_21	辽宁	912114006768987626 ly
no_22	吉林	91220101743005849Q ly
no_22	吉林	91220000668785274E ly
no_22	吉林	91220214744589364W ly
no_22	吉林	91222400764588510D ly
no_22	吉林	91220394744572407C ly
no_22	吉林	91220501744575990M ly
no_22	吉林	91220800749316971A ly
no_22	吉林	91220400744574437X ly
no_22	吉林	91220701744576563N ly
no_22	吉林	91220601668782487U ly
no_23	黑龙江	91230607677483972X ly
no_23	黑龙江	912327006774828577 ly
no_23	黑龙江	91230100677474486F ly
no_23	黑龙江	91230100676993516W ly
no_23	黑龙江	91230400677487260C ly
no_23	黑龙江	91231100677481766W ly
no_23	黑龙江	9123030067748481X8 ly
no_23	黑龙江	91230800677479930C ly
no_23	黑龙江	91231000677482873C ly
no_23	黑龙江	912309006774866554 ly
no_23	黑龙江	91230200677485476J ly
no_23	黑龙江	91230500677483710U ly
no_23	黑龙江	91231200677480827F ly
no_23	黑龙江	91230700677487236B ly
no_31	上海	91310115671143758E ly
no_32	江苏	91320000743917098X ly
no_32	江苏	913201007482112112 ly
no_32	江苏	91320200748734186A ly
no_32	江苏	91321100749429802F ly
no_32	江苏	9132050074940025XX ly
no_32	江苏	91320600748745029B ly
no_32	江苏	91321091750527338U ly
no_32	江苏	913209007494258284 ly
no_32	江苏	913203007487128768 ly
no_32	江苏	913208007494301417 ly
no_32	江苏	91320700750528699B ly
no_32	江苏	91320400748726944E ly
no_32	江苏	91321200750513120J ly
no_32	江苏	91321300749441625F ly
no_33	浙江	91330900747709536T ly
no_33	浙江	91330100747018962D ly
no_33	浙江	91330300747048520X ly
no_33	浙江	91331000747042540H ly
no_33	浙江	913305007490062797 ly
no_33	浙江	91330700747709173L ly
no_33	浙江	913306007477034849 ly
no_33	浙江	91330402747020472C ly
no_33	浙江	91330800749800712G ly
no_33	浙江	913311007470328602 ly
no_34	安徽	91340100756813650M ly
no_34	安徽	91340300756812578X ly
no_34	安徽	9134020075850419XG ly
no_34	安徽	9134050075682742XA ly
no_34	安徽	913404007568191719 ly
no_34	安徽	91340800756816114B ly
no_34	安徽	91341300756847092Q ly
no_34	安徽	91341600756829134W ly
no_34	安徽	913410007568269294 ly
no_34	安徽	913411007568089663 ly
no_34	安徽	91340600756828684T ly
no_34	安徽	91340700756845249E ly
no_34	安徽	91341800756826574C ly
no_34	安徽	91341500756808747D ly
no_34	安徽	91341700756811006X ly
no_35	福建	91350000753132120Q ly
no_35	福建	91350100757353035D ly
no_35	福建	9135020075162018XD ly
no_35	福建	913509007573591899 ly
no_35	福建	913503007573559623 ly
no_35	福建	9135050075736499XL ly
no_35	福建	91350600757354855X ly
no_35	福建	913508007573613183 ly
no_35	福建	91350400757354062X ly
no_35	福建	91350700757351574B ly
no_36	江西	91360100756770814P ly
no_36	江西	91360400759989993J ly
no_36	江西	91361100756774794K ly
no_36	江西	91361000756778648W ly
no_36	江西	91360900756779616W ly
no_36	江西	91360800756780967P ly
no_36	江西	913607007567795877 ly
no_36	江西	91360200756778162X ly
no_36	江西	91360300756769995C ly
no_36	江西	913605007567660570 ly
no_36	江西	91360600756778170D ly
no_37	山东	913701006772673139 ly
no_37	山东	913702126790683429 ly
no_37	山东	913703006792310580 ly
no_37	山东	91370400679241598D ly
no_37	山东	913705006792456796 ly
no_37	山东	913706006792313065 ly
no_37	山东	91370700680652976Y ly
no_37	山东	91370811679241600K ly
no_37	山东	91370900679236326T ly
no_37	山东	91371000679241563J ly
no_37	山东	91371102679236561T ly
no_37	山东	913712006792416783 ly
no_37	山东	91371302679241176J ly
